GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 0.967	-0.833	 0.426	 0.242	 31.9	-0.473	 0.221	 0.618
 0.965	-0.834	 0.424	 0.234	 31.8	-0.648	 0.122	 0.580
 0.960	-0.831	 0.418	 0.238	 31.8	-0.542	 0.168	 0.565
 0.969	-0.834	 0.423	 0.252	 31.8	-0.587	 0.114	 0.557
 0.963	-0.833	 0.423	 0.235	 31.8	-0.572	 0.053	 0.542
 0.962	-0.830	 0.427	 0.234	 31.9	-0.626	 0.069	 0.511
 0.959	-0.829	 0.419	 0.240	 31.8	-0.427	-0.282	 0.549
 0.967	-0.837	 0.420	 0.239	 31.9	-0.557	-0.114	 0.641
 0.962	-0.830	 0.423	 0.241	 31.8	-0.725	-0.351	 0.565
 0.966	-0.834	 0.425	 0.240	 31.9	-0.572	-0.305	 0.626
 0.960	-0.829	 0.422	 0.237	 31.8	-0.809	-0.366	 0.565
 0.965	-0.833	 0.424	 0.240	 31.9	-0.763	-0.359	 0.618
 0.961	-0.831	 0.418	 0.242	 31.7	-0.816	-0.587	 0.511
 0.967	-0.838	 0.418	 0.242	 31.8	-0.931	-0.534	 0.534
 0.961	-0.829	 0.420	 0.244	 31.8	-0.847	-0.519	 0.557
 0.961	-0.830	 0.426	 0.230	 31.9	-0.748	-0.717	 0.481
 0.960	-0.829	 0.423	 0.234	 31.9	-0.969	-0.687	 0.443
 0.965	-0.833	 0.426	 0.237	 31.9	-0.809	-0.702	 0.351
 0.966	-0.837	 0.420	 0.234	 31.9	-0.862	-0.786	 0.336
 0.962	-0.829	 0.423	 0.241	 31.9	-0.916	-0.862	 0.374
 0.961	-0.829	 0.418	 0.251	 31.8	-0.832	-0.870	 0.389
 0.960	-0.829	 0.423	 0.236	 31.8	-0.793	-1.022	 0.366
 0.970	-0.841	 0.420	 0.239	 31.7	-0.824	-0.961	 0.305
 0.961	-0.830	 0.423	 0.233	 31.8	-0.786	-0.908	 0.343
 0.962	-0.832	 0.419	 0.240	 31.7	-0.961	-0.877	 0.275
 0.963	-0.832	 0.425	 0.234	 31.9	-0.900	-0.854	 0.366
 0.962	-0.831	 0.420	 0.240	 31.7	-0.931	-0.931	 0.336
 0.962	-0.831	 0.425	 0.234	 31.8	-1.038	-0.763	 0.282
 0.964	-0.836	 0.419	 0.235	 31.8	-1.060	-0.946	 0.206
 0.966	-0.836	 0.423	 0.235	 31.8	-1.114	-0.801	 0.229
 0.967	-0.833	 0.428	 0.241	 31.8	-0.977	-0.809	 0.214
 0.963	-0.832	 0.419	 0.244	 31.9	-0.893	-0.824	 0.320
 0.970	-0.840	 0.426	 0.232	 31.8	-0.710	-0.832	 0.229
 0.959	-0.833	 0.420	 0.222	 31.8	-0.801	-0.847	 0.221
 0.965	-0.833	 0.421	 0.242	 31.8	-0.687	-0.954	 0.259
 0.963	-0.833	 0.422	 0.236	 31.9	-0.832	-0.664	 0.168
 0.960	-0.830	 0.420	 0.238	 31.8	-0.793	-0.732	 0.214
 0.962	-0.828	 0.430	 0.236	 31.9	-0.847	-0.534	 0.191
 0.958	-0.829	 0.426	 0.225	 31.8	-0.908	-0.504	 0.252
 0.962	-0.834	 0.420	 0.231	 31.8	-0.885	-0.397	 0.168
 0.964	-0.836	 0.422	 0.229	 31.8	-0.893	-0.549	 0.237
 0.961	-0.829	 0.423	 0.237	 31.9	-0.778	-0.511	 0.214
 0.966	-0.835	 0.424	 0.239	 31.7	-0.641	-0.481	 0.252
 0.956	-0.829	 0.418	 0.229	 31.9	-0.778	-0.359	 0.153
 0.964	-0.831	 0.427	 0.240	 31.8	-0.549	-0.420	 0.229
 0.963	-0.832	 0.424	 0.237	 31.8	-0.488	-0.366	 0.267
 0.965	-0.837	 0.416	 0.242	 31.8	-0.832	-0.183	 0.168
 0.961	-0.833	 0.426	 0.220	 31.8	-0.557	-0.252	 0.252
 0.967	-0.832	 0.428	 0.246	 31.7	-0.587	-0.252	 0.412
 0.964	-0.831	 0.426	 0.241	 31.9	-0.854	-0.168	 0.343
 0.963	-0.833	 0.420	 0.239	 31.9	-0.458	-0.252	 0.381
 0.965	-0.833	 0.420	 0.249	 31.8	-0.763	-0.130	 0.259
 0.962	-0.832	 0.421	 0.238	 31.8	-0.633	 0.076	 0.389
 0.957	-0.827	 0.421	 0.232	 31.8	-0.664	-0.092	 0.305
 0.961	-0.828	 0.425	 0.240	 31.8	-0.412	-0.191	 0.343
 0.958	-0.828	 0.423	 0.231	 31.9	-0.435	-0.046	 0.343
 0.961	-0.830	 0.420	 0.241	 31.8	-0.450	-0.122	 0.427
 0.959	-0.828	 0.425	 0.232	 31.8	-0.542	-0.130	 0.389
 0.963	-0.831	 0.425	 0.237	 31.8	-0.488	-0.023	 0.389
 0.957	-0.826	 0.417	 0.242	 31.9	-0.557	 0.031	 0.351
